"Value","Member","Description"
"0","Regular","A regular user without admin permissions."
"1","Reserved","A reserved value, not for use."
"2","Admin","An administrator in your Microsoft 365 organization."
"3","DCAdmin","A Microsoft datacenter administrator or datacenter system account."
"4","System","An audit event triggered by server-side logic. For example, Windows services or background processes."
"5","Application","An audit event triggered by a Microsoft Entra application."
"6","ServicePrincipal","A service principal."
"7","CustomPolicy","A customer created or managed policy."
"8","SystemPolicy","A Microsoft-managed or system policy."
"9","PartnerTechnician","A partner tenant's user working on behalf of the customer tenant (in GDAP scenarios)."
"10","Guest","A guest or anonymous user."